image_id,image_name,coco_supercategs,coco_categs,coco_areas,coco_captions
584,584.jpg,"['kitchen', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'food', 'kitchen', 'food', 'food', 'food', 'food']","['spoon', 'broccoli', 'broccoli', 'carrot', 'carrot', 'carrot', 'carrot', 'carrot', 'carrot', 'bowl', 'carrot', 'carrot', 'carrot', 'carrot']","[8202.7375, 2029.63, 9312.366699999997, 4341.833850000002, 4606.563249999999, 4065.587450000001, 2917.138400000001, 900.6093999999998, 2837.885099999999, 219960.02234999998, 4980.805250000001, 3579.646749999999, 2021.0537000000002, 1650.4129999999996]","['a plate of yummy food of some kind', 'Food on a white plate with vegetables and a garnish.', 'A cooked stir fry dish arranged on a plate.', 'A picture of a bowl of food that is mostly vegetables.', 'A close up picture of a meal on a white plate.']"
605,605.jpg,"['furniture', 'kitchen', 'kitchen', 'kitchen']","['dining table', 'cup', 'spoon', 'cup']","[292230.67579999997, 27883.840000000007, 3167.842300000001, 14512.857399999999]","['A cup of coffee on a plate with a spoon.', 'A cappuccino cup next to plates of deserts.', 'Cup of coffee with dessert items on a wooden grained table.', 'A cup of liquid with a fancy design on top of it.', 'Pastry, water and a cup of coffee with spoon.']"
625,625.jpg,"['person', 'person', 'person', 'sports']","['person', 'person', 'person', 'frisbee']","[9374.5, 12506.5, 8855.840100000001, 367.6884999999999]","['Three young women are trying to catch a frisbee.', 'A group of woman standing in a field trying to catch a frisbee', 'Three girls playing frisbee together in a field.', '3 people attempt to catch a frisbee in midair. ', 'three people in a grass field reaching for a frisbee in the air']"
650,650.jpg,"['animal', 'vehicle']","['cat', 'car']","[58308.82059999999, 63482.26930000002]","['a cat is sitting on top of a vehicle', 'A cat sitting on top of a car near bushes.', 'a black gray and white cat a car and bushes', 'Cat sitting on top of car with brush behind. ', 'A curious looking cat sitting on a car.']"
1308,1308.jpg,"['person', 'sports']","['person', 'surfboard']","[6685.614199999999, 1742.0500000000015]","['A man in swim shorts is riding a surf board.', 'A surfer is riding a wave in the ocean.', 'A fit young man surfing a wave in the ocean.', 'A man riding a surfboard on a wave.', 'A shirtless man riding shortboard on a wave.']"
1625,1625.jpg,"['vehicle', 'vehicle']","['bicycle', 'bus']","[44338.70880000001, 35570.72089999999]","['A bicycle with a book bag chained to a bike stand.', 'A bike is shown hooked up to a rack.', 'a white and blue bus and a red bicycle', 'A bus driving down a street next to a parked bike.', 'A bicycle parked outside on a bicycle ramp. ']"
1877,1877.jpg,['vehicle'],['train'],[100068.71565],"['A white and yellow passenger train sits on its rail with a tower in the background. ', 'A train is moving along raised train tracks.', 'A commuter train crosses an overpass on a cloudy day.', 'A train with first class is traveling somewhere. ', 'A passenger train on an outdoor track that is on a brick wall with railings.']"
2270,2270.jpg,"['furniture', 'furniture', 'furniture', 'furniture', 'kitchen', 'indoor', 'indoor', 'kitchen', 'kitchen', 'indoor', 'indoor', 'kitchen', 'furniture']","['potted plant', 'couch', 'chair', 'chair', 'cup', 'vase', 'vase', 'cup', 'bowl', 'book', 'book', 'bowl', 'chair']","[14654.550849999998, 14101.259049999995, 5764.734200000001, 11065.728649999995, 216.43025000000054, 540.48195, 190.7717499999997, 225.62580000000025, 111.26965000000007, 522.2003, 292.27509999999984, 58.22655000000008, 5205.135800000001]","['A living room that has a couch in it.', 'A large living area with wood floors, chairs and a piano.', 'A living room with wooden floors and tan walls. ', 'A picture of a living room with a piano as the focal peice.', 'Beautiful wooden living room with modern furniture and sunlit windows.']"
2349,2349.jpg,"['animal', 'kitchen', 'kitchen', 'indoor', 'furniture']","['cat', 'bowl', 'bowl', 'vase', 'chair']","[18812.684050000007, 459.61590000000024, 335.38450000000006, 1216.0308000000005, 203815.87090000007]","['A black and white cat sitting on top of  a pillow in a chair.', 'A black cat sits on top of the pillow.', 'A black and white cat perched on a pillow on a white chair', 'A cat sitting on a cushion which is on a chair', 'A black cat lying on a pillow placed on a chair.']"
2372,2372.jpg,"['person', 'accessory', 'indoor']","['person', 'tie', 'clock']","[82190.23535, 5743.247200000001, 173.5301499999999]","['a man with a brown suit, sitting at a table with microphone, listening.', 'A man in a business suit sitting in front of a microphone', 'a person sitting wearing a suit and tie ', 'A man sits silently in front of a microphone.', 'A man in business attire about to respond to question']"
